gene_name	quality	n	total	percent
KCNE1	mid: >23, <=33	6	76	7.894736842105263
KCNE1	high: >33	70	76	92.10526315789474
KCNK1	mid: >23, <=33	1	76	1.3157894736842104
KCNK1	high: >33	75	76	98.68421052631578
KCNK10	high: >33	76	76	100
KCNK12	mid: >23, <=33	3	76	3.9473684210526314
KCNK12	high: >33	73	76	96.05263157894737
KCNK13	high: >33	76	76	100
KCNK15	low: >17, <= 23	7	76	9.210526315789473
KCNK15	mid: >23, <=33	12	76	15.789473684210526
KCNK15	high: >33	57	76	75
KCNK17	mid: >23, <=33	18	76	23.684210526315788
KCNK17	high: >33	58	76	76.31578947368422
KCNK18	mid: >23, <=33	10	76	13.157894736842104
KCNK18	high: >33	66	76	86.8421052631579
KCNK2	mid: >23, <=33	1	74	1.3513513513513513
KCNK2	high: >33	73	74	98.64864864864865
KCNK3	mid: >23, <=33	9	76	11.842105263157894
KCNK3	high: >33	67	76	88.1578947368421
KCNK4	mid: >23, <=33	11	76	14.473684210526317
KCNK4	high: >33	65	76	85.52631578947368
KCNK5	mid: >23, <=33	1	76	1.3157894736842104
KCNK5	high: >33	75	76	98.68421052631578
KCNK6	mid: >23, <=33	19	76	25
KCNK6	high: >33	57	76	75
KCNK7	mid: >23, <=33	15	76	19.736842105263158
KCNK7	high: >33	61	76	80.26315789473685
KCNK9	mid: >23, <=33	2	76	2.631578947368421
KCNK9	high: >33	74	76	97.36842105263158
KCNV2	very low: <= 17	6	76	7.894736842105263
KCNV2	low: >17, <= 23	6	76	7.894736842105263
KCNV2	mid: >23, <=33	26	76	34.21052631578947
KCNV2	high: >33	38	76	50
KDM2B	high: >33	76	76	100
KIR3DL2	very low: <= 17	2	76	2.631578947368421
KIR3DL2	low: >17, <= 23	1	76	1.3157894736842104
KIR3DL2	mid: >23, <=33	2	76	2.631578947368421
KIR3DL2	high: >33	71	76	93.42105263157895
KISS1	mid: >23, <=33	16	76	21.052631578947366
KISS1	high: >33	60	76	78.94736842105263
KISS1R	low: >17, <= 23	6	72	8.333333333333332
KISS1R	mid: >23, <=33	19	72	26.38888888888889
KISS1R	high: >33	47	72	65.27777777777779
KLF11	low: >17, <= 23	3	76	3.9473684210526314
KLF11	mid: >23, <=33	27	76	35.526315789473685
KLF11	high: >33	46	76	60.526315789473685
KLF14	low: >17, <= 23	5	76	6.578947368421052
KLF14	mid: >23, <=33	13	76	17.105263157894736
KLF14	high: >33	58	76	76.31578947368422
KLK4	very low: <= 17	7	76	9.210526315789473
KLK4	low: >17, <= 23	7	76	9.210526315789473
KLK4	mid: >23, <=33	7	76	9.210526315789473
KLK4	high: >33	55	76	72.36842105263158
KMT2C	high: >33	76	76	100
KNG1	low: >17, <= 23	1	76	1.3157894736842104
KNG1	mid: >23, <=33	7	76	9.210526315789473
KNG1	high: >33	68	76	89.47368421052632
KRTAP1-1	very low: <= 17	1	74	1.3513513513513513
KRTAP1-1	mid: >23, <=33	15	74	20.27027027027027
KRTAP1-1	high: >33	58	74	78.37837837837837
LAMB1	mid: >23, <=33	1	76	1.3157894736842104
LAMB1	high: >33	75	76	98.68421052631578
LBR	mid: >23, <=33	2	76	2.631578947368421
LBR	high: >33	74	76	97.36842105263158
LIPN	mid: >23, <=33	28	76	36.84210526315789
LIPN	high: >33	48	76	63.1578947368421
LIX1	high: >33	76	76	100
LMF1	low: >17, <= 23	4	74	5.405405405405405
LMF1	mid: >23, <=33	1	74	1.3513513513513513
LMF1	high: >33	69	74	93.24324324324324
LMNB2	very low: <= 17	5	74	6.756756756756757
LMNB2	low: >17, <= 23	13	74	17.56756756756757
LMNB2	mid: >23, <=33	6	74	8.108108108108109
LMNB2	high: >33	50	74	67.56756756756756
LRIG2	mid: >23, <=33	1	76	1.3157894736842104
LRIG2	high: >33	75	76	98.68421052631578
LZTFL1	mid: >23, <=33	8	76	10.526315789473683
LZTFL1	high: >33	68	76	89.47368421052632
MAFA	low: >17, <= 23	2	76	2.631578947368421
MAFA	mid: >23, <=33	7	76	9.210526315789473
MAFA	high: >33	67	76	88.1578947368421
MAN1B1	very low: <= 17	1	76	1.3157894736842104
MAN1B1	low: >17, <= 23	2	76	2.631578947368421
MAN1B1	mid: >23, <=33	4	76	5.263157894736842
MAN1B1	high: >33	69	76	90.78947368421053
MARVELD2	low: >17, <= 23	1	76	1.3157894736842104
MARVELD2	mid: >23, <=33	18	76	23.684210526315788
MARVELD2	high: >33	57	76	75
MASP2	mid: >23, <=33	29	76	38.15789473684211
MASP2	high: >33	47	76	61.8421052631579
MBOAT7	very low: <= 17	3	76	3.9473684210526314
MBOAT7	low: >17, <= 23	13	76	17.105263157894736
MBOAT7	mid: >23, <=33	21	76	27.631578947368425
MBOAT7	high: >33	39	76	51.31578947368421
MC1R	low: >17, <= 23	7	74	9.45945945945946
MC1R	mid: >23, <=33	26	74	35.13513513513514
MC1R	high: >33	41	74	55.4054054054054
MDK	low: >17, <= 23	1	76	1.3157894736842104
MDK	mid: >23, <=33	16	76	21.052631578947366
MDK	high: >33	59	76	77.63157894736842
MICB	mid: >23, <=33	7	76	9.210526315789473
MICB	high: >33	69	76	90.78947368421053
MLC1	low: >17, <= 23	1	76	1.3157894736842104
MLC1	mid: >23, <=33	13	76	17.105263157894736
MLC1	high: >33	62	76	81.57894736842105
MLPH	very low: <= 17	1	76	1.3157894736842104
MLPH	low: >17, <= 23	7	76	9.210526315789473
MLPH	mid: >23, <=33	13	76	17.105263157894736
MLPH	high: >33	55	76	72.36842105263158
MOGS	very low: <= 17	6	76	7.894736842105263
MOGS	mid: >23, <=33	30	76	39.473684210526315
MOGS	high: >33	40	76	52.63157894736842
MPG	very low: <= 17	30	74	40.54054054054054
MPG	low: >17, <= 23	12	74	16.216216216216218
MPG	mid: >23, <=33	1	74	1.3513513513513513
MPG	high: >33	31	74	41.891891891891895
MST1R	mid: >23, <=33	10	76	13.157894736842104
MST1R	high: >33	66	76	86.8421052631579
MUC1	very low: <= 17	23	74	31.08108108108108
MUC1	low: >17, <= 23	26	74	35.13513513513514
MUC1	mid: >23, <=33	10	74	13.513513513513514
MUC1	high: >33	15	74	20.27027027027027
MUC12	very low: <= 17	3	72	4.166666666666666
MUC12	high: >33	69	72	95.83333333333334
MUC13	mid: >23, <=33	8	76	10.526315789473683
MUC13	high: >33	68	76	89.47368421052632
MUC15	low: >17, <= 23	1	76	1.3157894736842104
MUC15	mid: >23, <=33	44	76	57.89473684210527
MUC15	high: >33	31	76	40.78947368421053
MUC16	high: >33	74	74	100
MUC19	low: >17, <= 23	3	76	3.9473684210526314
MUC19	mid: >23, <=33	1	76	1.3157894736842104
MUC19	high: >33	72	76	94.73684210526315
MUC2	very low: <= 17	12	74	16.216216216216218
MUC2	low: >17, <= 23	5	74	6.756756756756757
MUC2	mid: >23, <=33	3	74	4.054054054054054
MUC2	high: >33	54	74	72.97297297297297
